Solver Grids Slack Delta_A Delta_B Anneal_Time Max_Bias Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2 Restriction2T Slack_On
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12251.172522111992 232.52302515200003 0 8 -65.596 30.908000000000015 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12173.569182656003 76.66334048000002 0 8 -83.51599999999999 17.100000000000023 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12148.379209808001 271.14487838400004 0 7 -46.43599999999999 37.42800000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -12139.307939552004 457.28827779200003 0 4 -5.903999999999996 50.024 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -12062.364846847999 114.70387200000002 0 8 -73.84 22.312000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -12056.527206848004 131.48423648000002 0 8 -79.196 15.756 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -12027.773839583999 120.42534467200002 0 7 -45.66799999999999 41.652 0
4 10 5 2000 1 20 4000.0 2000.5 0.552 -12005.916794799996 144.192988624 0 5 -69.42 16.940000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -11845.786528319997 61.123534912000004 0 8 -85.204 33.536000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11648.116155471987 82.75461470400002 0 7 -74.752 53.14400000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11627.186581664006 160.32820784 0 7 -67.968 39.29600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11612.651845119999 65.97520595200001 0 8 -81.74799999999999 21.54000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11566.362371919982 146.28427076800003 0 7 -74.744 45.168000000000006 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11520.955785872 288.98156171200003 0 5 -42.032 22.536000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -11481.574653951997 137.786875392 0 6 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11462.430487567988 185.765903984 0 5 -46.964 39.84000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11442.475384271991 155.87366507200002 0 6 -65.84 -9.912000000000006 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -11412.735779600003 107.35540798400002 0 6 -59.684 4.8840000000000146 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -11384.84572416 259.090683392 0 6 -36.8 1.3640000000000185 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11378.390974784 29.892238911999996 0 6 -81.124 2.4520000000000124 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11355.118526863993 157.43858072000003 0 6 -60.812 3.7560000000000144 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11347.385598783992 61.123534912000004 0 6 -85.204 -1.627999999999986 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11342.361598783988 61.123534912000004 0 6 -85.204 -1.627999999999986 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -11303.350617391996 214.55369019200003 0 6 -63.41199999999999 1.1560000000000201 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11300.406664191996 137.786875392 0 6 -68.72 -4.151999999999987 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -11279.710664191993 137.786875392 0 6 -68.72 -4.151999999999987 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11279.710664191993 137.786875392 0 6 -68.72 -4.151999999999987 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11262.465150031992 77.902943664 0 6 -78.208 5.368000000000009 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11262.109693951981 137.786875392 0 6 -68.72 -5.191999999999993 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11242.945250303994 259.090683392 0 6 -36.8 -1.86399999999999 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11224.450095056 75.92356920000002 0 6 -80.752 6.567999999999998 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -11211.690967103998 137.786875392 0 6 -68.72 7.2960000000000065 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11195.670993679996 238.54788024000004 0 6 -42.924 13.680000000000014 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -11176.926664191993 137.786875392 0 6 -68.72 -4.151999999999987 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11171.246723599997 162.17630398400001 0 6 -55.364 9.204000000000015 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11163.710883264 131.48423648000002 0 8 -79.196 31.56000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -11132.299799488002 267.87888851200006 0 6 -56.959999999999994 -37.31999999999999 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11130.645915024 103.85512856000003 0 6 -62.228 2.3400000000000105 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11101.35582822399 142.84895539200002 0 7 -51.199999999999996 48.21600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -11073.764740367995 295.81260721600006 0 5 -36.03199999999999 28.536000000000023 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -11066.011862912004 313.74043443200003 0 6 -43.291999999999994 12.636000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -11032.447779600003 107.35540798400002 0 6 -59.684 4.8840000000000146 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -11005.91583079999 159.62836414400002 0 5 -44.20399999999999 32.46000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10995.263557632003 204.31750195200004 0 5 -35.239999999999995 29.328000000000017 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -10812.940333967988 161.21393470400002 0 6 -50.08399999999999 23.64000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -10775.230883263997 191.21554803200004 0 8 -73.44399999999999 31.56000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -10728.464977279997 230.519650304 0 6 -59.564 5.004000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -10702.916950016006 114.70387200000002 0 6 -73.84 23.319999999999993 0
4 10 5 2000 1 20 4000.0 2000.5 0.624 -10644.179785872013 152.58690968000002 0 6 -64.268 22.536000000000016 0
