Solver Grids Delta_A Delta_B Anneal_Time Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2
4 10 4000 2 20 120.00 0.925 -26430.627 307.289 0.000 0 -22.548
4 10 4000 2 20 120.00 0.950 -26383.280 308.488 0.000 0 -27.240
4 10 4000 2 20 120.00 0.925 -26383.131 328.478 0.000 0 -14.508
4 10 4000 2 20 120.00 0.908 -26327.964 343.292 0.000 0 -10.788
4 10 4000 2 20 120.00 0.933 -26244.209 139.759 0.000 0 -55.128
4 10 4000 2 20 120.00 0.925 -26220.117 155.422 0.000 0 -52.104
4 10 4000 2 20 120.00 0.942 -26217.507 383.511 0.000 0 -4.976
4 10 4000 2 20 120.00 0.917 -26117.684 323.924 0.000 0 -20.328
4 10 4000 2 20 120.00 0.942 -26013.244 327.424 0.000 0 -25.788
4 10 4000 2 20 120.00 0.917 -25952.178 201.026 0.000 0 -61.388
4 10 4000 2 20 120.00 0.933 -25839.657 186.343 0.000 0 -60.048
4 10 4000 2 20 120.00 0.925 -25812.699 387.534 0.000 0 -2.384
4 10 4000 2 20 120.00 0.917 -25712.750 263.308 0.000 0 -34.452
4 10 4000 2 20 120.00 0.917 -25693.796 300.350 0.000 0 -16.424
4 10 4000 2 20 120.00 0.908 -25692.578 262.778 0.000 0 -26.640
