Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 500 30 455.93 0.122 3 -8.444
1 10 500 30 524.85 0.108 3 -8.296
1 10 500 30 572.77 0.116 4 -11.256
1 10 500 30 571.62 0.120 5 -9.432
1 10 500 30 409.73 0.125 3 -9.988
1 10 500 30 463.06 0.137 4 -9.664
1 10 500 30 554.15 0.115 3 -7.944
1 10 500 30 588.80 0.122 3 -9.760
1 10 500 30 540.91 0.126 4 -11.292
1 10 500 30 443.91 0.119 4 -11.024
1 10 500 30 465.02 0.133 4 -11.916
1 10 500 30 591.21 0.132 3 -12.320
1 10 500 30 596.30 0.129 5 -11.772
1 10 500 30 572.15 0.137 5 -10.988
1 10 500 30 575.76 0.130 4 -9.472
1 10 500 30 563.51 0.132 4 -8.204
1 10 500 30 506.95 0.123 4 -12.288
1 10 500 30 493.20 0.129 4 -9.936
1 10 500 30 587.66 0.112 3 -7.576
1 10 500 30 408.21 0.115 3 -10.600
1 10 500 30 570.76 0.108 4 -8.528
1 10 500 30 611.30 0.112 4 -6.584
1 10 500 30 481.86 0.124 4 -9.268
1 10 500 30 439.42 0.145 2 -10.044
1 10 500 30 426.08 0.117 2 -9.788
1 10 500 30 494.62 0.127 2 -9.724
1 10 500 30 491.55 0.122 2 -8.244
1 10 500 30 348.46 0.131 3 -9.548
1 10 500 30 411.91 0.109 3 -10.272
1 10 500 30 535.97 0.112 3 -9.908
1 10 500 30 571.32 0.132 4 -12.664
1 10 500 30 459.15 0.116 3 -8.580
1 10 500 30 618.27 0.112 5 -9.172
1 10 500 30 588.78 0.115 3 -9.688
1 10 500 30 474.39 0.114 3 -9.680
1 10 500 30 491.54 0.110 4 -8.596
1 10 500 30 600.14 0.114 3 -10.016
1 10 500 30 529.92 0.110 4 -12.308
1 10 500 30 535.69 0.114 4 -12.052
1 10 500 30 539.13 0.122 3 -8.352
1 10 500 30 525.20 0.121 4 -9.512
1 10 500 30 650.31 0.123 4 -9.812
1 10 500 30 596.80 0.127 5 -7.324
1 10 500 30 446.94 0.115 3 -10.428
1 10 500 30 493.92 0.114 3 -9.076
1 10 500 30 609.33 0.148 5 -11.036
1 10 500 30 514.66 0.127 4 -9.764
1 10 500 30 498.96 0.136 3 -7.940
1 10 500 30 617.62 0.115 4 -10.652
1 10 500 30 441.72 0.116 2 -8.364
1 10 500 30 411.28 0.118 3 -9.780
1 10 500 30 482.88 0.124 4 -8.172
1 10 500 30 429.91 0.132 5 -9.744
1 10 500 30 618.55 0.114 4 -8.320
1 10 500 30 538.55 0.113 3 -9.496
1 10 500 30 559.65 0.117 4 -10.488
1 10 500 30 483.50 0.113 3 -9.488
1 10 500 30 530.21 0.140 5 -8.700
1 10 500 30 525.74 0.124 3 -9.704
1 10 500 30 417.63 0.123 3 -7.740
1 10 500 30 604.12 0.130 5 -11.916
1 10 500 30 588.03 0.130 5 -6.024
1 10 500 30 646.13 0.128 6 -8.096
1 10 500 30 576.59 0.122 4 -11.728
1 10 500 30 420.24 0.116 4 -10.800
1 10 500 30 503.03 0.125 4 -8.076
1 10 500 30 563.73 0.110 3 -10.336
1 10 500 30 572.86 0.143 5 -10.376
1 10 500 30 460.65 0.136 4 -8.532
1 10 500 30 662.64 0.142 6 -10.260
1 10 500 30 592.95 0.140 5 -9.576
1 10 500 30 473.85 0.147 3 -9.724
1 10 500 30 556.32 0.134 4 -11.772
