Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 50 20 421.74 0.114 3 -8.100
1 10 50 20 466.49 0.120 3 -7.812
1 10 50 25 663.18 0.110 4 -6.784
1 10 50 25 586.50 0.103 3 -7.768
1 10 50 25 636.63 0.103 4 -7.440
1 10 50 25 664.61 0.107 4 -7.292
1 10 50 25 485.61 0.133 4 -8.420
1 10 50 25 561.31 0.105 3 -8.432
1 10 50 25 638.84 0.114 4 -6.320
1 10 50 25 600.50 0.108 4 -11.196
1 10 50 25 528.10 0.098 3 -9.068
1 10 50 25 727.58 0.102 5 -6.196
1 10 50 25 665.45 0.112 5 -6.084
1 10 50 25 510.12 0.109 3 -8.060
1 10 50 25 699.39 0.098 4 -5.944
1 10 50 25 680.30 0.107 4 -8.072
1 10 50 25 619.85 0.097 3 -5.976
1 10 50 25 630.36 0.099 4 -6.784
1 10 50 25 588.65 0.106 3 -9.104
1 10 50 25 540.61 0.111 4 -7.360
1 10 50 25 591.94 0.110 4 -6.296
1 10 50 25 460.05 0.112 3 -6.132
1 10 50 25 538.77 0.104 4 -9.096
1 10 50 25 641.05 0.117 4 -5.424
1 10 50 25 640.62 0.110 5 -6.300
1 10 50 25 472.68 0.113 3 -9.412
1 10 50 25 617.82 0.115 5 -7.796
1 10 50 25 587.80 0.115 4 -7.880
1 10 50 25 581.57 0.134 4 -6.260
1 10 50 25 564.79 0.126 4 -8.220
1 10 50 25 681.19 0.105 4 -8.528
1 10 50 25 600.58 0.118 3 -8.332
1 10 50 25 537.94 0.102 5 -7.540
1 10 50 25 630.98 0.100 4 -6.272
1 10 50 25 552.77 0.102 3 -8.432
1 10 50 25 652.09 0.099 4 -5.312
1 10 50 25 656.55 0.113 3 -8.732
1 10 50 25 541.53 0.111 4 -8.872
1 10 50 25 538.62 0.145 3 -6.360
1 10 50 25 540.84 0.110 4 -7.352
1 10 50 25 428.38 0.102 3 -9.812
1 10 50 25 579.27 0.127 3 -4.948
1 10 50 25 704.38 0.106 5 -7.272
1 10 50 25 485.86 0.100 2 -6.516
1 10 50 25 470.95 0.104 4 -7.264
1 10 50 25 579.28 0.099 3 -5.744
1 10 50 25 531.14 0.120 4 -7.056
1 10 50 25 597.25 0.110 4 -6.580
1 10 50 25 519.89 0.101 4 -6.848
1 10 50 25 677.14 0.115 4 -6.472
1 10 50 25 508.02 0.096 5 -8.384
1 10 50 25 664.78 0.111 3 -6.052
1 10 50 25 575.60 0.106 3 -7.528
1 10 50 25 475.04 0.098 3 -7.096
1 10 50 25 720.78 0.105 4 -6.880
1 10 50 25 587.70 0.108 4 -7.064
1 10 50 25 602.14 0.100 3 -8.320
1 10 50 25 502.77 0.105 3 -6.900
1 10 50 25 549.31 0.107 3 -5.956
1 10 50 25 615.60 0.118 3 -6.656
1 10 50 25 593.48 0.109 4 -6.368
1 10 50 25 636.11 0.098 3 -7.592
1 10 50 25 552.00 0.101 3 -8.380
1 10 50 25 549.40 0.106 5 -7.944
1 10 50 25 518.41 0.109 4 -6.268
1 10 50 25 566.10 0.104 5 -7.620
1 10 50 25 648.56 0.100 3 -8.092
1 10 50 25 555.31 0.101 3 -7.508
1 10 50 25 677.36 0.108 5 -8.308
1 10 50 25 551.46 0.101 3 -7.836
1 10 50 25 689.15 0.099 3 -7.272
1 10 50 25 502.25 0.100 4 -6.228
1 10 50 25 649.14 0.103 4 -8.712
1 10 50 25 553.85 0.117 4 -7.224
1 10 50 25 534.14 0.097 4 -7.552
1 10 50 25 512.14 0.122 4 -6.888
1 10 50 25 516.52 0.101 3 -6.420
1 10 50 25 522.96 0.105 3 -6.152
1 10 50 25 563.54 0.106 3 -7.208
1 10 50 25 464.30 0.101 3 -7.960
1 10 50 25 646.31 0.105 4 -5.892
1 10 50 25 533.76 0.111 4 -8.764
1 10 50 25 582.01 0.112 4 -8.164
1 10 50 25 541.11 0.125 3 -7.432
1 10 50 25 478.61 0.131 3 -7.992
1 10 50 25 562.58 0.118 3 -8.604
1 10 50 25 691.43 0.099 5 -6.428
1 10 50 25 724.53 0.101 5 -6.572
1 10 50 25 498.11 0.099 3 -8.628
1 10 50 25 561.41 0.099 4 -6.312
1 10 50 25 601.39 0.115 4 -7.672
1 10 50 25 528.17 0.097 3 -7.056
1 10 50 25 723.73 0.108 4 -8.192
1 10 50 25 639.95 0.106 4 -7.840
1 10 50 25 617.82 0.100 3 -7.252
1 10 50 25 560.26 0.099 4 -6.476
1 10 50 25 605.15 0.108 3 -7.944
1 10 50 25 681.02 0.097 3 -6.840
1 10 50 25 645.68 0.097 4 -6.160
1 10 50 25 688.16 0.102 4 -6.836
1 10 50 25 571.48 0.106 4 -8.192
1 10 50 25 533.06 0.096 3 -5.744
1 10 50 30 499.95 0.100 5 -6.736
1 10 50 30 661.68 0.100 5 -6.372
1 10 50 30 598.20 0.104 3 -10.064
1 10 50 30 725.07 0.099 4 -7.352
1 10 50 30 427.12 0.098 3 -9.616
1 10 50 30 666.86 0.102 5 -6.020
1 10 50 30 656.28 0.107 3 -8.356
1 10 50 30 641.80 0.113 4 -4.864
1 10 50 30 627.19 0.117 5 -8.908
1 10 50 30 433.56 0.099 3 -8.868
1 10 50 30 470.59 0.111 3 -7.868
1 10 50 30 546.36 0.107 3 -7.496
1 10 50 30 519.42 0.098 3 -7.244
1 10 50 30 581.50 0.103 5 -8.968
1 10 50 30 596.69 0.101 3 -11.336
1 10 50 30 607.44 0.101 3 -8.368
1 10 50 30 514.11 0.099 3 -6.336
1 10 50 30 626.37 0.099 5 -7.936
1 10 50 30 744.53 0.099 3 -10.740
1 10 50 30 565.53 0.099 5 -7.536
1 10 50 30 591.54 0.102 3 -7.680
1 10 50 30 570.01 0.115 3 -7.168
1 10 50 30 583.35 0.102 4 -5.764
1 10 50 30 705.13 0.107 3 -6.356
1 10 50 30 512.09 0.134 5 -6.664
1 10 50 30 508.41 0.119 4 -6.924
1 10 50 30 516.77 0.100 5 -7.308
1 10 50 30 728.39 0.104 5 -7.004
1 10 50 30 564.41 0.102 3 -6.756
1 10 50 30 570.88 0.102 3 -6.748
1 10 50 30 546.24 0.109 4 -6.828
1 10 50 30 637.43 0.119 3 -6.884
1 10 50 30 697.54 0.102 4 -9.404
1 10 50 30 564.99 0.098 2 -6.928
1 10 50 30 533.23 0.099 4 -8.068
1 10 50 30 557.53 0.097 3 -8.796
1 10 50 30 528.32 0.110 3 -7.836
1 10 50 30 494.95 0.104 3 -7.252
1 10 50 30 648.13 0.115 4 -6.520
1 10 50 30 643.14 0.110 5 -6.124
1 10 50 30 544.51 0.102 3 -5.916
1 10 50 30 556.68 0.102 3 -7.100
1 10 50 30 578.94 0.099 2 -7.024
