Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 4000 4 361.96 0.144 0 -17.276
1 10 4000 4 403.46 0.142 0 -20.148
1 10 4000 4 229.98 0.145 0 -40.020
1 10 4000 4 409.53 0.149 0 -28.204
1 10 4000 4 381.97 0.177 0 -15.372
1 10 4000 4 221.86 0.162 0 -28.412
1 10 4000 4 394.72 0.138 0 -7.744
1 10 4000 4 291.15 0.139 0 -9.772
1 10 4000 4 188.56 0.147 0 -12.072
1 10 4000 4 334.11 0.146 0 -27.184
1 10 4000 4 259.95 0.147 0 -26.500
1 10 4000 4 326.37 0.139 0 -6.148
1 10 4000 4 458.76 0.154 0 6.348
1 10 4000 4 375.08 0.154 0 -12.300
1 10 4000 4 403.40 0.157 0 -1.584
1 10 4000 4 399.77 0.138 0 -7.764
1 10 4000 4 428.24 0.140 0 -9.072
1 10 4000 4 382.95 0.162 0 -15.340
1 10 4000 4 435.88 0.148 0 -21.136
1 10 4000 4 378.46 0.150 0 -18.632
1 10 4000 4 330.67 0.143 0 -12.920
1 10 4000 4 406.39 0.161 0 -9.468
1 10 4000 4 352.84 0.159 0 -14.468
1 10 4000 4 417.74 0.150 0 -7.216
1 10 4000 4 403.29 0.142 0 -11.868
1 10 4000 4 321.69 0.148 0 -6.348
1 10 4000 4 411.29 0.147 0 -6.276
1 10 4000 4 380.46 0.160 0 -9.932
1 10 4000 4 456.39 0.182 0 -2.516
1 10 4000 4 424.66 0.156 0 6.364
1 10 4000 4 198.91 0.159 0 -22.620
1 10 4000 4 364.69 0.152 0 -10.112
1 10 4000 4 498.06 0.156 0 6.120
1 10 4000 4 363.11 0.139 0 -11.628
1 10 4000 4 447.77 0.143 0 -24.296
1 10 4000 4 415.36 0.191 0 7.784
1 10 4000 4 452.84 0.157 0 7.840
1 10 4000 4 284.05 0.154 0 -15.496
1 10 4000 4 426.78 0.167 0 -16.304
1 10 4000 4 151.89 0.148 1 -38.476
1 10 4000 4 287.36 0.162 0 -18.232
1 10 4000 4 466.90 0.158 0 4.384
1 10 4000 4 407.87 0.145 0 -1.472
1 10 4000 4 293.74 0.141 0 -11.504
1 10 4000 4 416.23 0.152 0 3.580
1 10 4000 4 311.25 0.158 0 -20.076
1 10 4000 4 387.86 0.169 0 -16.652
1 10 4000 4 417.44 0.164 0 -4.724
1 10 4000 4 418.03 0.186 0 -4.644
1 10 4000 4 351.16 0.177 0 -29.404
1 10 4000 4 338.88 0.145 0 -13.488
1 10 4000 4 252.74 0.139 0 -41.440
1 10 4000 4 368.05 0.158 0 -17.260
1 10 4000 4 334.61 0.167 0 -22.296
1 10 4000 4 320.03 0.160 0 -21.716
1 10 4000 4 396.14 0.156 0 -10.868
1 10 4000 4 422.41 0.154 0 -13.580
1 10 4000 4 336.52 0.152 0 -1.716
1 10 4000 4 335.87 0.153 0 -15.688
1 10 4000 4 291.03 0.161 0 -37.612
1 10 4000 4 346.35 0.147 0 -22.968
1 10 4000 4 346.85 0.155 0 -18.752
1 10 4000 4 256.11 0.148 0 -47.356
1 10 4000 4 337.69 0.153 0 -4.780
